"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"34","Tommy DeVito","QB","NYG","-","-","-","-","-","-","0","7.2","10.7","14.5","22.5","10.2","BYE","17.4","10.7","2.7","-","0.6","9.7","96.5"
"35","Deshaun Watson","QB","CLE","21.7","12.6","21.2","-","BYE","-","-0.8","-","19","17.2","-","-","-","-","-","-","-","-","15.1","90.8"
"36","Tyrod Taylor","QB","NYJ","0.2","-","0.2","-","4.8","10.4","21.7","3.6","-","-","-","-","-","-","0.5","10.4","19.8","18.7","9","90.3"
"37","Ryan Tannehill","QB","TEN","5.4","21","4.2","13.7","10.8","2","BYE","-","-","-","-","-","-","-","-","9.8","6.7","13.4","9.7","87"
"38","Bailey Zappe","QB","NE","-","-","-","2.3","0.9","-","-","-","-","0","BYE","1.2","7.2","21.9","10.4","16.4","15.1","2.8","7.8","78.2"
"39","Nick Mullens","QB","MIN","-","-","-","-","-","-","-","-","-","-","-","-","BYE","3.3","19.1","20.5","9.1","22.6","14.9","74.7"
"40","Anthony Richardson","QB","IND","21.9","17.7","-","29.6","4.4","-","-","-","-","-","BYE","-","-","-","-","-","-","-","18.4","73.7"
"41","Jimmy Garoppolo","QB","LAR","16.1","9.5","20.7","-","11.7","9.9","-","5.2","-","BYE","-","-","-","-","-","-","-","0","10.4","73.1"
"42","Taylor Heinicke","QB","ATL","-","-","-","-","-","-","-","12.4","15.7","9.6","BYE","-","-","-","-","14.2","18.1","-","14","70"
"43","Easton Stick","QB","LAC","-","-","-","-","BYE","-","-","-","-","-","-","-","-","5.2","18.4","16.6","11.9","16","13.6","68.1"
"44","Daniel Jones","QB","NYG","6.5","31.7","5","10.7","7.2","-","-","-","1.9","-","-","-","BYE","-","-","-","-","-","10.5","63"
"45","Tyson Bagent","QB","CHI","-","-","-","-","-","6.7","12.9","13.2","18.8","7.7","-","-","BYE","-","-","-","-","-","11.9","59.3"
"46","Mitch Trubisky","QB","BUF","-","-","-","0.7","-","-","-","9.3","-","-","-","-","7.2","21.6","14.9","-","-","-","10.7","53.7"
"47","Mason Rudolph","QB","TEN","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0.1","20","11.5","8","9.9","39.6"
"48","Drew Lock","QB","NYG","-","-","-","3.6","-","-","-","-","-","-","-0.9","-","BYE","17.3","12.1","-","-","-","8","32.1"
"49","Trevor Siemian","QB","NYJ","-","-","-","-","-","-","BYE","-","-","-","-","-","1.4","-","0.4","11.5","14.7","2.9","6.2","31"
"50","Jarrett Stidham","QB","DEN","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","0","-","13.6","14.1","9.2","27.6"
"51","Carson Wentz","QB","KC","-","-","-","-","-","-","-","-","-","BYE","-","0","-","-","-","-","-","27.1","13.6","27.1"
"52","Dorian Thompson-Robinson","QB","CLE","-","-","-","4.2","BYE","-","-","0.4","-","-","7.6","11.5","-","0.5","0.2","1.7","-","-","3.7","26.1"
"53","Tyler Huntley","QB","CLE","-","-","-","0.8","BYE","-","0","-","6.3","-","-","-","-","-","-","-","4.7","13.8","5.1","25.6"
"54","P.J. Walker","QB","CLE","-","-","-","-","BYE","5.8","6.4","12.6","0","0","-","0.1","-","-","-","-","-","-","4.2","25"
"55","Sam Darnold","QB","MIN","-0.2","-","-0.1","-0.1","-0.1","-","-","-","-","-0.1","-","-","-0.1","-","0.6","7.1","-0.2","17.5","2.4","24.4"
"56","Andy Dalton","QB","CAR","-","-","23.5","-","0.1","-","BYE","-","-","-","-","-","-","-","-","-","-","-","11.8","23.6"
"57","Jacoby Brissett","QB","NE","-","-","-","-","-","-","-","-","-","-","BYE","-","0","-","13.9","9","-","-","7.6","22.9"
"58","C.J. Beathard","QB","JAC","-","-","0.4","-","-","-0.2","-","-","BYE","0.2","0","-","3.2","-","-","8.4","9.5","0","2.7","21.5"
"59","Davis Mills","QB","HOU","-","-","-","-","-","-","BYE","-","-","-","0.1","-","0.7","0.2","0","16.9","0","-","3","17.8"
"60","Jeff Driskel","QB","WAS","-","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","15.9","15.9","15.9"
"61","Jameis Winston","QB","CLE","-","-","4","-1","-0.4","-","-","-","-","10.9","-","-","1.6","-0.2","-","-","-","0","2.1","15"
"62","Tim Boyle","QB","HOU","-","-","-","-","-","-","BYE","-","-","-","0.4","9.4","5.1","-","-","-","-","-","5","14.9"
"63","Marcus Mariota","QB","WAS","-","-","-","-","-","-","-","-","-","-","-","-","1.2","0","-","-","-","11.5","4.3","12.8"
"64","Case Keenum","QB","HOU","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","12.3","0.5","-","-","6.4","12.7"
"65","Clayton Tune","QB","ARI","0","-","-","-","-","-","0.2","-","1.1","6.1","-","2","-","BYE","0","-","0","0.1","1.2","9.5"
"66","Blaine Gabbert","QB","KC","-","-","-0.9","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","9.8","4.5","8.9"
"67","Brian Hoyer","QB","FA","-","-","-","-","-","3.8","3.2","-","-","-","-","-","-","-","-","-","-","-","3.5","6.9"
"68","Brett Rypien","QB","CHI","-","-","-","-","-","-","-","1.7","4.1","-","-","-","BYE","-","-","-","-","-","2.9","5.8"
"69","Cooper Rush","QB","DAL","0","0","-","0.6","0.1","-","BYE","-0.2","-","2.2","0.3","-","-","-","-","-","-","1.2","0.5","4.3"
"70","Jaren Hall","QB","MIN","-","-","-","-","-","-","-","-1.2","4.2","-","-","-","BYE","-","-","-","0.1","-","1","3.1"
"71","Malik Willis","QB","TEN","-","-","-","-","-","4.7","BYE","-1.6","-","-","-","-","-","-","-","-","-","-","1.5","3.1"
"72","Mike White","QB","MIA","-","-","6.6","-","-","-1.4","-","-","-","BYE","-","-0.2","0.1","-","0","-","-2","-","0.5","3.1"
"73","Sean Clifford","QB","GB","0","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","1.3","-","0.6","1.3"
"74","AJ McCarron","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","0.8","0.4","0.8"
"75","Logan Woodside","QB","ATL","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","0.7","0.7","0.7"
"76","Skylar Thompson","QB","MIA","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","0","0"
"76","Max Duggan","QB","LAC","-","-","-","-","BYE","-","-","-","0","-","-","-","-","-","-","-","-","-","0","0"
"76","Sam Ehlinger","QB","IND","-","-","-","-","-","-","-","-","-","-","BYE","-","-","0","-","-","-","-","0","0"
"76","Aaron Rodgers","QB","NYJ","0","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","-","0","0"
"76","Jacob Eason","QB","NYG","-","-","-","-","-","-","-","-","-","-","0","0","BYE","-","-","-","-","-","0","0"
"76","Malik Cunningham","QB","BAL","-","-","-","-","-","0","-","-","-","-","-","-","BYE","-","-","-","-","0","0","0"
"76","Chris Oladokun","QB","KC","-","-","-","-","-","0","-","0","-","BYE","-","-","-","-","-","-","-","-","0","0"
"83","Kyle Trask","QB","TB","-","-","-","-","BYE","-","-","-","-","-0.1","-","0","-","-","-","-","-","-","-0.1","-0.1"
"84","Teddy Bridgewater","QB","FA","-","-","-","-","-0.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.2","-0.2"
"85","Matt Barkley","QB","JAC","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-0.3","-","-0.3","-0.3"
"86","Nathan Peterman","QB","NO","-","-","-","-","-","-","-0.4","-","-","-","BYE","-","-","-","-","-","-","0","-0.2","-0.4"
"87","Kyle Allen","QB","PIT","-","-0.2","-0.2","-0.3","-","0","-","-","-","-","-0.2","-","-","-","-0.2","-","-0.2","-","-0.2","-1.3"
""
""
